nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
"OGÓLNOKRAJOWA SPÓŁDZIELNIA TURYSTYCZNA ""GROMADA""",0000076030,5250007968,00033293700000,PLAC+POWSTAŃCÓW+WARSZAWY+2+WARSZAWA,,00-030,WARSZAWA,SPÓŁDZIELNIA,31.12.2001,52.234477,21.0149666
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""KLUB DWUSTU""",0000075678,5250012142,00621536800000,EKOLOGICZNA+22+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,20.12.2001,52.13069385,21.05729533693285
"SPÓŁDZIELNIA MIESZKANIOWA ""CENTRUM-WOLA""",0000074655,5250011496,01155283400000,SIEDMIOGRODZKA+11+WARSZAWA,,01-232,WARSZAWA,SPÓŁDZIELNIA,20.12.2001,52.230893800000004,20.967892594019595
"SPÓŁDZIELNIA MIESZKANIOWA ""WYŻYNY""",0000074918,9510024814,01047579300000,ST.+KAZURY+5+WARSZAWA,,02-795,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,n,n
"SPÓŁDZIELNIA MIESZKANIOWA - WŁASNOŚCIOWA ""JEDNOŚĆ""",0000073542,9521125418,00136243200000,BISKUPIA+48+WARSZAWA,,04-216,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.2413005,21.1218556
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""OSIEDLE NA SKARPIE""",0000073485,5212405709,00049006200000,BELGIJSKA+3+WARSZAWA,,02-511,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.202761249999995,21.026305274302253
"SPÓŁDZIELNIA MIESZKANIOWA ""SZWOLEŻERÓW""",0000073064,5250011869,01150384700000,DRAGONÓW+8+WARSZAWA,,00-467,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.21826045,21.043090948500343
"SPÓŁDZIELNIA PRACY ""ARGO - FILM""",0000072720,5250001925,00042389300000,+RYŻOWA+33+A+WARSZAWA,10,02-495,WARSZAWA,SPÓŁDZIELNIA,15.12.2001,52.193413,20.909667796004065
"MAŁA SPÓŁDZIELNIA MIESZKANIOWA ""SAMI""",0000071899,9511871290,01060119200000,EKOLOGICZNA+4+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,12.12.2001,52.1303412,21.0625819
"SPÓŁDZIELNIA MIESZKANIOWA ""JELONKI""",0000069548,5250009950,01104937700000,+POWSTAŃCÓW+ŚLĄSKICH+4A+WARSZAWA,,01-381,WARSZAWA,SPÓŁDZIELNIA,12.12.2001,52.223412100000004,20.9184815
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ATEŃSKA""",0000069923,1132165537,01607245800000,ARABSKA+9+WARSZAWA,,03-977,WARSZAWA,SPÓŁDZIELNIA,11.12.2001,52.2223466,21.070612174822003
"SPÓŁDZIELNIA MIESZKANIOWA ""WILANÓW""",0000069636,5211122978,00137121800000,DEMBEGO+14+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,07.12.2001,52.1316286,21.07420179515558
"SPÓŁDZIELNIA PRACY ""ORION""",0000068478,5250010410,00042202000000,MANGALIA+4+WARSZAWA,,02-758,WARSZAWA,SPÓŁDZIELNIA,05.12.2001,52.1872607,21.0465796
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""PRZY ULICY DOBROWOJA""",0000065904,1131949403,00049024000000,DOBROWOJA+12+WARSZAWA,,04-003,WARSZAWA,SPÓŁDZIELNIA,04.12.2001,52.244934549999996,21.079508946218322
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""NASZA CHATA""",0000061423,5250006650,00089269400000,OSOWSKA+27+WARSZAWA,,04-302,WARSZAWA,SPÓŁDZIELNIA,04.12.2001,52.2440889,21.1072624292219
"""IKAR""SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW SGGW W WARSZAWIE",0000066718,9511594347,01186455100000,PILECKIEGO+107+WARSZAWA,ADM,02-781,WARSZAWA,SPÓŁDZIELNIA,29.11.2001,52.142375349999995,21.037815834892008
SPÓŁDZIELNIA PRACY SPECJALISTÓW RENTGENOLOGÓW IM. PROF. WITOLDA ZAWADOWSKIEGO,0000065332,5250005768,00084094100000,WARYŃSKIEGO+9+WARSZAWA,,00-655,WARSZAWA,SPÓŁDZIELNIA,26.11.2001,52.220425,21.0150246
"SPÓŁDZIELNIA MIESZKANIOWA ""SZAŁAS""",0000062441,5221894760,00140328900000,CZERWONA+DROGA+5+WARSZAWA,3 A,02-496,WARSZAWA,SPÓŁDZIELNIA,23.11.2001,52.2008498,20.870931757748636
